name,set,product_id,rarity,number,market_price,low_price,mid_price,printing
Roo - Littlest Pirate,Azurite Sea,587967,Common,23/204,0.05,0.01,0.15,Normal
Prepare to Board!,Azurite Sea,587968,Common,94/204,0.1,0.01,0.2,Cold Foil
Baymax's Healthcare Chip,Azurite Sea,587969,Common,166/204,0.16,0.01,0.25,Cold Foil
Mr. Arrow - Legacy's First Mate,Azurite Sea,587970,Common,182/204,0.36,0.05,0.4,Cold Foil
Ambush!,Azurite Sea,587971,Rare,198/204,0.4,0.14,0.5,Cold Foil
Madam Mim - Truly Marvelous,Azurite Sea,587972,Super Rare,55/204,0.66,0.24,0.69,Cold Foil
Yokai - Professor Callaghan,Azurite Sea,587973,Common,158/204,0.03,0.01,0.1,Normal
Unfortunate Situation,Azurite Sea,587974,Uncommon,199/204,0.08,0.01,0.15,Normal
Tootles - Lost Boy,Azurite Sea,588068,Common,76/204,0.08,0.01,0.2,Cold Foil
Hades - Strong Arm,Azurite Sea,588070,Legendary,125/204,1.42,0.5,1.47,Cold Foil
Hercules - Baby Demigod,Azurite Sea,588071,Legendary,86/204,0.67,0.25,0.83,Normal
Owl - Pirate Lookout,Azurite Sea,588072,Uncommon,1/204,0.18,0.09,0.25,Cold Foil
Captain Amelia - Commander of the Legacy,Azurite Sea,588073,Super Rare,192/204,0.19,0.05,0.25,Normal
The Walrus - Greedy Gourmand,Azurite Sea,588074,Uncommon,46/204,0.05,0.01,0.15,Normal
Aladdin - Intrepid Commander,Azurite Sea,588075,Uncommon,119/204,0.06,0.01,0.15,Normal
Genie - Wonderful Trickster,Azurite Sea,588084,Legendary,61/204,2.55,1.85,2.73,Cold Foil
Thievery,Azurite Sea,588086,Common,128/204,0.27,0.1,0.35,Cold Foil
I Won't Give In,Azurite Sea,588087,Common,28/204,0.05,0.01,0.1,Normal
Galactic Communicator,Azurite Sea,588088,Common,99/204,0.15,0.03,0.25,Cold Foil
March Hare - Absurd Host,Azurite Sea,588100,Uncommon,50/204,0.22,0.05,0.25,Cold Foil
Jasmine - Rebellious Princess,Azurite Sea,588101,Uncommon,106/204,0.11,0.01,0.2,Normal
John Silver - Stern Captain,Azurite Sea,588130,Legendary,194/204,2.57,2.0,3.16,Cold Foil
I'm Still Here,Azurite Sea,588151,Common,196/204,0.41,0.15,0.49,Cold Foil
Gadget Hackwrench - Creative Thinker,Azurite Sea,588152,Common,139/204,0.06,0.01,0.14,Normal
Juju - Mama Odie's Companion,Azurite Sea,588154,Common,41/204,0.04,0.01,0.1,Normal
Tiana - Restaurant Owner,Azurite Sea,588155,Legendary,16/204,17.36,11.0,18.32,Cold Foil
Training Dummy,Azurite Sea,588158,Uncommon,201/204,0.04,0.01,0.12,Normal
Scar - Tempestuous Lion,Azurite Sea,588320,Uncommon,47/204,0.3,0.1,0.36,Cold Foil
Megabot,Azurite Sea,588322,Uncommon,98/204,0.22,0.1,0.26,Cold Foil
Microbots,Azurite Sea,588323,Uncommon,167/204,0.26,0.01,0.29,Normal
Tadashi Hamada - Baymax Inventor,Azurite Sea,588327,Super Rare,153/204,0.65,0.15,0.76,Cold Foil
Tadashi Hamada - Gifted Roboticist,Azurite Sea,588328,Rare,155/204,0.28,0.05,0.36,Normal
Yokai - Scientific Supervillain,Azurite Sea,588333,Rare,160/204,0.21,0.05,0.25,Normal
Diablo - Obedient Raven,Azurite Sea,588337,Uncommon,49/204,2.58,1.75,3.1,Cold Foil
Zipper - Astute Decoy,Azurite Sea,588338,Rare,141/204,0.46,0.25,0.51,Cold Foil
Mertle Edmonds - Lilo's Rival,Azurite Sea,588339,Uncommon,82/204,0.22,0.06,0.25,Cold Foil
Raya - Kumandran Rider,Azurite Sea,588340,Rare,107/204,1.32,1.0,1.44,Cold Foil
Pleakley - Scientific Expert,Azurite Sea,588341,Uncommon,144/204,1.23,0.49,1.54,Cold Foil
Card Soldier's Spear,Azurite Sea,588342,Uncommon,134/204,0.25,0.01,0.3,Cold Foil
Maui - Half-Shark,Azurite Sea,588357,Legendary,124/204,28.29,25.96,30.0,Cold Foil
Moana - Kakamora Leader,Azurite Sea,588360,Rare,121/204,0.95,0.66,1.15,Cold Foil
Kakamora - Pirate Pitcher,Azurite Sea,588362,Common,105/204,0.03,0.01,0.1,Normal
HeiHei - Not-So-Tricky Chicken,Azurite Sea,588363,Uncommon,146/204,0.06,0.01,0.15,Normal
Kakamora - Long-Range Specialist,Azurite Sea,588366,Common,171/204,0.02,0.01,0.15,Normal
Flotilla - Coconut Armada,Azurite Sea,588367,Rare,135/204,0.22,0.05,0.25,Normal
Alistair Krei - Ambitious Entrepreneur,Azurite Sea,588368,Common,87/204,0.03,0.01,0.1,Normal
Maleficent's Staff,Azurite Sea,588369,Rare,65/204,0.89,0.75,1.18,Cold Foil
Wreck-It Ralph - Ham Hands,Azurite Sea,590821,Legendary,190/204,1.37,0.73,1.73,Cold Foil
Wreck-It Ralph - Ham Hands (Enchanted),Azurite Sea,590822,Enchanted,220/204,25.16,25.0,29.69,Holofoil
Mama Odie - Solitary Sage,Azurite Sea,591113,Rare,57/204,0.07,0.01,0.2,Normal
A Very Merry Unbirthday,Azurite Sea,591114,Common,60/204,0.2,0.04,0.25,Cold Foil
Dawson - Basil's Assistant,Azurite Sea,591115,Common,77/204,0.13,0.03,0.2,Cold Foil
Jasmine - Royal Commodore,Azurite Sea,591116,Legendary,84/204,4.25,3.0,4.3,Cold Foil
Gazelle - Angel with Horns,Azurite Sea,591117,Common,88/204,0.14,0.03,0.25,Cold Foil
Jafar - Power-Hungry Vizier,Azurite Sea,591118,Super Rare,193/204,0.48,0.34,0.55,Cold Foil
Goofy - Expert Shipwright,Azurite Sea,591119,Rare,89/204,0.16,0.1,0.25,Normal
Bellwether - Assistant Mayor,Azurite Sea,591120,Uncommon,90/204,0.04,0.01,0.13,Normal
John Silver - Ferocious Friend,Azurite Sea,591121,Uncommon,109/204,0.04,0.01,0.15,Normal
Scar - Heartless Hunter,Azurite Sea,591122,Super Rare,127/204,0.9,0.46,1.0,Cold Foil
Gold Coin,Azurite Sea,591124,Common,133/204,0.15,0.08,0.25,Cold Foil
Nick Wilde - Sly Fox,Azurite Sea,591133,Uncommon,150/204,0.23,0.09,0.25,Cold Foil
Jumbo Pop,Azurite Sea,591138,Common,168/204,0.04,0.01,0.14,Normal
Mickey Mouse - Night Watch,Azurite Sea,591144,Uncommon,187/204,0.07,0.01,0.15,Normal
Good Job!,Azurite Sea,591977,Common,27/204,0.15,0.03,0.22,Cold Foil
Sisu - Uniting Dragon,Azurite Sea,591978,Super Rare,54/204,0.66,0.45,0.75,Cold Foil
Alice - Savvy Sailor,Azurite Sea,591979,Super Rare,161/204,2.35,2.0,3.95,Cold Foil
Bend to My Will,Azurite Sea,591980,Super Rare,93/204,0.32,0.05,0.46,Normal
Vanellope von Schweetz - Gutsy Go-Getter,Azurite Sea,591981,Uncommon,110/204,0.14,0.01,0.23,Normal
Energy Blast,Azurite Sea,591982,Rare,131/204,0.13,0.01,0.2,Normal
Sour Bill - Surly Henchman,Azurite Sea,591983,Common,147/204,0.12,0.03,0.25,Cold Foil
The Islands I Pulled From The Sea,Azurite Sea,591984,Uncommon,130/204,0.45,0.24,0.47,Cold Foil
Hundred Acre Island - Pooh's Home,Azurite Sea,591985,Common,34/204,0.06,0.01,0.11,Normal
Gopher - Ship's Carpenter,Azurite Sea,591986,Uncommon,4/204,0.24,0.1,0.25,Cold Foil
Skull Rock - Isolated Fortress,Azurite Sea,591987,Common,136/204,0.14,0.05,0.25,Cold Foil
Institute of Technology - Prestigious University,Azurite Sea,591988,Common,170/204,0.14,0.02,0.25,Cold Foil
Aunt Cass - Biggest Fan,Azurite Sea,591989,Common,138/204,0.04,0.01,0.1,Normal
Moana - Self-Taught Sailor,Azurite Sea,591990,Common,117/204,0.32,0.07,0.4,Cold Foil
Simba - Pride Protector,Azurite Sea,591991,Legendary,20/204,2.6,1.49,3.4,Cold Foil
Twin Fire,Azurite Sea,591992,Common,197/204,0.07,0.01,0.13,Normal
Basil - Disguised Detective,Azurite Sea,591993,Uncommon,91/204,0.37,0.2,0.5,Cold Foil
Basil - Disguised Detective (Enchanted),Azurite Sea,591994,Enchanted,212/204,45.33,32.99,47.74,Holofoil
Peter Pan - Shadow Catcher,Azurite Sea,591995,Uncommon,58/204,0.26,0.14,0.3,Cold Foil
Monterey Jack - Good-Hearted Ranger,Azurite Sea,591996,Rare,13/204,0.33,0.19,0.48,Cold Foil
You Came Back,Azurite Sea,591997,Rare,97/204,1.79,0.75,1.86,Cold Foil
You Came Back (Enchanted),Azurite Sea,591998,Enchanted,213/204,67.46,75.6,99.14,Holofoil
Baymax - Personal Healthcare Companion (Enchanted),Azurite Sea,591999,Enchanted,218/204,57.39,54.79,67.35,Holofoil
The Islands I Pulled From The Sea (Enchanted),Azurite Sea,592000,Enchanted,216/204,25.94,23.58,36.99,Holofoil
Sugar Rush Speedway - Finish Line (Enchanted),Azurite Sea,592001,Enchanted,207/204,26.18,25.0,32.0,Holofoil
Sugar Rush Speedway - Finish Line,Azurite Sea,592002,Super Rare,35/204,1.31,0.66,1.52,Cold Foil
Scrump,Azurite Sea,592003,Uncommon,33/204,0.12,0.01,0.15,Normal
Mr. Smee - Captain of the Jolly Roger,Azurite Sea,592004,Super Rare,176/204,0.17,0.06,0.25,Normal
Nani - Caring Sister,Azurite Sea,592005,Rare,19/204,0.14,0.03,0.22,Normal
David - Impressive Surfer,Azurite Sea,592006,Uncommon,8/204,0.27,0.09,0.3,Cold Foil
Stitch - Little Trickster,Azurite Sea,592007,Common,26/204,0.07,0.01,0.15,Normal
Sail the Azurite Sea,Azurite Sea,592008,Common,163/204,3.33,2.96,3.88,Cold Foil
Longboat,Azurite Sea,592009,Uncommon,132/204,0.17,0.05,0.25,Cold Foil
Cobra Bubbles - Former CIA,Azurite Sea,592010,Rare,188/204,0.1,0.01,0.2,Normal
Mullins - Seasoned Shipmate,Azurite Sea,592011,Common,177/204,0.09,0.02,0.25,Cold Foil
We Could Be Immortals (Enchanted),Azurite Sea,592012,Enchanted,219/204,34.87,33.45,39.49,Holofoil
Yzma - Conniving Chemist (Enchanted),Azurite Sea,592013,Enchanted,209/204,49.52,64.75,79.99,Holofoil
Captain Amelia - Commander of the Legacy (Enchanted),Azurite Sea,592014,Enchanted,221/204,27.22,21.5,31.23,Holofoil
Lilo - Escape Artist,Azurite Sea,592015,Super Rare,2/204,4.2,3.4,4.77,Normal
Prince Naveen - Vigilant First Mate,Azurite Sea,592016,Uncommon,9/204,0.19,0.09,0.25,Cold Foil
Calhoun - Marine Sergeant,Azurite Sea,592017,Rare,191/204,5.14,2.0,6.3,Cold Foil
Markowski - Space Trooper,Azurite Sea,592019,Common,113/204,0.12,0.04,0.2,Cold Foil
Iago - Reappearing Parrot,Azurite Sea,592020,Common,45/204,0.13,0.01,0.24,Cold Foil
Mosquito Bite,Azurite Sea,592021,Uncommon,96/204,0.44,0.24,0.45,Cold Foil
King's Sensor Core,Azurite Sea,592022,Rare,200/204,0.31,0.1,0.5,Cold Foil
Kohut - Trusted Marine,Azurite Sea,592024,Common,178/204,0.11,0.05,0.2,Cold Foil
Abu - Bold Helmsman,Azurite Sea,592025,Common,114/204,0.13,0.06,0.25,Cold Foil
Magic Carpet - Amazing Flier,Azurite Sea,592026,Uncommon,51/204,0.08,0.01,0.15,Normal
Perilous Maze - Watery Labyrinth,Azurite Sea,592027,Common,101/204,0.04,0.01,0.1,Normal
Chip 'n' Dale - Recovery Rangers (Enchanted),Azurite Sea,592030,Enchanted,205/204,39.04,39.04,44.99,Holofoil
Tiana - Restaurant Owner (Enchanted),Azurite Sea,592031,Enchanted,206/204,57.32,57.75,89.9,Holofoil
Rafiki - Ethereal Guide (Enchanted),Azurite Sea,592032,Enchanted,208/204,32.81,37.57,50.77,Holofoil
Maleficent's Staff (Enchanted),Azurite Sea,592034,Enchanted,210/204,26.24,24.78,28.57,Holofoil
Raya - Kumandran Rider (Enchanted),Azurite Sea,592036,Enchanted,214/204,32.12,29.68,45.5,Holofoil
Tigger - In the Crow's Nest (Enchanted),Azurite Sea,592037,Enchanted,215/204,63.8,100.5,101.99,Holofoil
Gadget Hackwrench - Brilliant Bosun (Enchanted),Azurite Sea,592038,Enchanted,217/204,29.42,34.3,40.4,Holofoil
Daisy Duck - Pirate Captain,Azurite Sea,592039,Super Rare,81/204,1.35,1.0,1.4,Cold Foil
Daisy Duck - Pirate Captain (Enchanted),Azurite Sea,592040,Enchanted,211/204,32.66,30.98,35.0,Holofoil
Aladdin - Fearless Navigator,Azurite Sea,592998,Common,112/204,0.06,0.01,0.1,Normal
B.E.N. - Eccentric Robot,Azurite Sea,592999,Common,137/204,0.19,0.04,0.25,Cold Foil
Chief Bogo - Gazelle Fan,Azurite Sea,593000,Common,11/204,0.13,0.01,0.25,Cold Foil
Donald Duck - First Mate,Azurite Sea,593002,Uncommon,80/204,0.34,0.11,0.41,Cold Foil
Dr. Delbert Doppler - Fussy Astronomer,Azurite Sea,593003,Uncommon,152/204,0.04,0.01,0.15,Normal
Gantu - Captain Crankyhead,Azurite Sea,593004,Rare,189/204,0.37,0.2,0.5,Normal
Genie - Excited Shipbuilder,Azurite Sea,593006,Common,38/204,0.04,0.01,0.11,Normal
Genie - Wish Fulfilled,Azurite Sea,593007,Rare,53/204,12.45,9.0,12.91,Cold Foil
Goofy - Flying Goof,Azurite Sea,593008,Rare,123/204,4.09,3.0,4.2,Cold Foil
Hades - Lord of the Dead,Azurite Sea,593009,Rare,36/204,0.84,0.05,1.0,Cold Foil
Heathcliff - Stoic Butler,Azurite Sea,593010,Common,78/204,0.16,0.08,0.25,Cold Foil
Hercules - Unwavering Demigod,Azurite Sea,593011,Common,180/204,0.06,0.01,0.12,Normal
Hiram Flaversham - Intrigued Inventor,Azurite Sea,593013,Rare,159/204,0.17,0.01,0.25,Normal
Jim Hawkins - Stubborn Cabin Boy,Azurite Sea,593014,Common,173/204,0.05,0.01,0.11,Normal
Jim Hawkins - Rigging Specialist,Azurite Sea,593015,Uncommon,183/204,0.28,0.16,0.48,Cold Foil
John Darling - Sophisticated Swordsman,Azurite Sea,593017,Uncommon,118/204,0.19,0.09,0.25,Cold Foil
Kakamora - Pirate Chief,Azurite Sea,593018,Rare,172/204,0.3,0.19,0.41,Cold Foil
Kanga - Nurturing Mother,Azurite Sea,593019,Rare,21/204,0.49,0.2,0.5,Cold Foil
Lead the Way,Azurite Sea,593020,Common,129/204,0.04,0.01,0.13,Normal
Mad Hatter - Eccentric Host,Azurite Sea,593022,Super Rare,59/204,0.26,0.15,0.34,Normal
Madam Mim - Tiny Adversary,Azurite Sea,593023,Rare,37/204,5.2,3.74,5.65,Cold Foil
Making Magic,Azurite Sea,593024,Common,62/204,0.12,0.03,0.24,Cold Foil
Michael Darling - Playful Swordsman,Azurite Sea,593025,Common,111/204,0.16,0.02,0.22,Cold Foil
Mickey Mouse - Pirate Captain,Azurite Sea,593027,Super Rare,103/204,1.08,0.75,1.15,Cold Foil
Minnie Mouse - Pirate Lookout,Azurite Sea,593028,Super Rare,120/204,0.67,0.24,0.96,Cold Foil
Mr. Big - Shrewd Tycoon,Azurite Sea,593029,Rare,174/204,0.19,0.05,0.25,Normal
Mr. Litwak - Arcade Owner,Azurite Sea,593030,Common,24/204,0.05,0.01,0.1,Normal
Naveen's Ukulele,Azurite Sea,593032,Common,31/204,0.06,0.01,0.1,Normal
Olivia Flaversham - The Toymaker's Daughter,Azurite Sea,593033,Rare,92/204,0.75,0.39,0.86,Cold Foil
Owl Island - Secluded Entrance,Azurite Sea,593034,Rare,102/204,0.54,0.05,0.56,Cold Foil
Pete - Freebooter,Azurite Sea,593035,Rare,122/204,0.5,0.45,0.6,Cold Foil
Pluto - Guard Dog,Azurite Sea,593037,Uncommon,186/204,0.19,0.05,0.25,Normal
Prince Naveen - Carefree Explorer,Azurite Sea,593038,Common,10/204,0.07,0.01,0.1,Normal
Prince Phillip - Royal Explorer,Azurite Sea,593039,Uncommon,83/204,0.26,0.01,0.3,Normal
Safe and Sound,Azurite Sea,593041,Rare,30/204,0.44,0.25,0.49,Cold Foil
Seeking the Half Crown,Azurite Sea,593042,Rare,64/204,0.37,0.05,0.45,Cold Foil
The White Rose - Jewel of the Garden,Azurite Sea,593043,Common,40/204,0.94,0.15,1.0,Cold Foil
Tinker Bell - Fast Flier,Azurite Sea,593045,Common,43/204,0.11,0.01,0.16,Normal
Transport Pod,Azurite Sea,593046,Uncommon,100/204,0.07,0.01,0.15,Normal
Treasure Mountain - Azurite Sea Island,Azurite Sea,593047,Rare,203/204,0.19,0.1,0.25,Normal
Tuk Tuk - Big Buddy,Azurite Sea,593049,Uncommon,184/204,0.18,0.04,0.25,Cold Foil
Winnie the Pooh - Hunny Pirate,Azurite Sea,593050,Rare,3/204,0.7,0.32,0.7,Cold Foil
Treasure Mountain - Azurite Sea Island (Enchanted),Azurite Sea,593162,Enchanted,222/204,16.31,16.18,19.03,Holofoil
Disney Lorcana: Azurite Sea Sleeved Booster Pack,Azurite Sea,593831,,,5.66,4.95,6.29,Normal
Disney Lorcana: Azurite Sea Sleeved Booster Pack Art Bundle [Set of 3],Azurite Sea,593832,,,32.83,32.0,32.0,Normal
Azurite Sea Puzzle Insert (Set of 9),Azurite Sea,596419,None,,0.47,0.1,0.55,Normal
Disney Lorcana: Shimmering Skies Booster Box,Shimmering Skies,555130,,,80.09,79.47,110.0,Normal
Disney Lorcana: Shimmering Skies Booster Box Case,Shimmering Skies,555131,,,376.97,376.97,399.19,Normal
Disney Lorcana: Shimmering Skies Booster Pack,Shimmering Skies,555142,,,5.4,4.49,5.99,Normal
Disney Lorcana: Gateway,Shimmering Skies,555143,,,16.18,13.0,19.99,Normal
Disney Lorcana: Shimmering Skies Starter Deck (Amethyst & Ruby),Shimmering Skies,555144,,,10.97,9.87,17.0,Normal
Disney Lorcana: Shimmering Skies Starter Deck (Emerald & Steel),Shimmering Skies,555145,,,10.57,6.89,14.5,Normal
Disney Lorcana: Shimmering Skies Starter Deck Display,Shimmering Skies,555146,,,55.3,46.99,109.0,Normal
Disney Lorcana: Shimmering Skies Starter Deck [Set of 2],Shimmering Skies,555147,,,28.22,22.3,27.37,Normal
Disney Lorcana: Shimmering Skies Illumineer's Trove,Shimmering Skies,555148,,,44.49,42.95,50.0,Normal
Vanellope von Schweetz - Sugar Rush Champ,Shimmering Skies,555241,Common,6/204,0.22,0.01,0.27,Cold Foil
Kristoff - Reindeer Keeper,Shimmering Skies,555242,Rare,13/204,0.14,0.05,0.25,Normal
Bruni - Fire Salamander,Shimmering Skies,555244,Uncommon,40/204,0.08,0.01,0.15,Normal
Elsa - The Fifth Spirit,Shimmering Skies,555245,Super Rare,48/204,2.07,1.44,2.63,Cold Foil
Scar - Vengeful Lion,Shimmering Skies,555248,Rare,93/204,0.29,0.09,0.38,Normal
Taffyta Muttonfudge - Ruthless Rival,Shimmering Skies,555252,Uncommon,103/204,0.27,0.07,0.32,Cold Foil
Wreck-It Ralph - Demolition Dude,Shimmering Skies,555259,Rare,104/204,0.21,0.1,0.36,Cold Foil
Turbo - Royal Hack,Shimmering Skies,555260,Uncommon,106/204,0.07,0.01,0.15,Normal
Donald Duck - Pie Slinger,Shimmering Skies,555261,Legendary,107/204,1.93,1.47,2.3,Cold Foil
Rancis Fluggerbutter - Chocolate Charger,Shimmering Skies,555266,Common,108/204,0.04,0.01,0.14,Normal
Snowanna Rainbeau - Cool Competitor,Shimmering Skies,555268,Common,110/204,0.09,0.03,0.2,Cold Foil
Taffyta Muttonfudge - Crowd Favorite,Shimmering Skies,555269,Common,114/204,0.05,0.01,0.15,Normal
Taffyta Muttonfudge - Sour Speedster,Shimmering Skies,555270,Uncommon,117/204,0.34,0.2,0.45,Cold Foil
Vanellope von Schweetz - Random Roster Racer,Shimmering Skies,555271,Rare,124/204,0.13,0.05,0.25,Normal
Merlin - Intellectual Visionary,Shimmering Skies,555272,Legendary,159/204,1.97,0.99,2.63,Cold Foil
Kronk - Head of Security,Shimmering Skies,555273,Super Rare,185/204,0.16,0.02,0.25,Normal
You're Welcome,Shimmering Skies,555274,Uncommon,96/204,2.16,1.24,2.15,Cold Foil
The Great Illuminary - Radiant Ballroom,Shimmering Skies,555275,Rare,169/204,0.29,0.2,0.4,Cold Foil
Bad-Anon - Villain Support Center,Shimmering Skies,555276,Rare,203/204,0.15,0.01,0.2,Normal
Prince John - Gold Lover,Shimmering Skies,556439,Super Rare,147/204,0.19,0.05,0.29,Normal
Remember Who You Are,Shimmering Skies,556975,Rare,97/204,0.49,0.18,0.59,Cold Foil
Mickey Mouse - Enthusiastic Dancer,Shimmering Skies,557293,Common,112/204,0.13,0.05,0.25,Cold Foil
Minnie Mouse - Dazzling Dancer,Shimmering Skies,557294,Uncommon,126/204,0.06,0.01,0.15,Normal
Stitch - Team Underdog,Shimmering Skies,557295,Uncommon,171/204,0.32,0.07,0.34,Cold Foil
Ratigan - Party Crasher,Shimmering Skies,557537,Rare,123/204,0.14,0.02,0.22,Normal
Ludwig Von Drake - Self-Proclaimed Genius,Shimmering Skies,557728,Uncommon,151/204,0.06,0.01,0.15,Normal
Luisa Madrigal - Entertaining Muscle,Shimmering Skies,557729,Rare,45/204,0.14,0.04,0.2,Normal
Robin Hood - Timely Contestant,Shimmering Skies,557730,Rare,69/204,0.18,0.05,0.25,Normal
Tug-of-War,Shimmering Skies,557731,Rare,196/204,0.12,0.01,0.21,Normal
Pete - Wrestling Champ,Shimmering Skies,559085,Rare,187/204,0.11,0.01,0.2,Normal
Invited to the Ball,Shimmering Skies,559086,Uncommon,29/204,0.11,0.01,0.15,Normal
Finders Keepers,Shimmering Skies,559087,Uncommon,60/204,0.1,0.01,0.2,Normal
Sherwood Forest - Outlaw Hideaway,Shimmering Skies,559088,Rare,101/204,0.22,0.08,0.3,Normal
Mufasa - Ruler of Pride Rock,Shimmering Skies,559156,Legendary,150/204,5.92,3.89,7.29,Cold Foil
Daisy Duck - Donald's Date,Shimmering Skies,559158,Super Rare,16/204,5.36,4.02,6.8,Normal
Robin Hood - Sneaky Sleuth,Shimmering Skies,559159,Uncommon,88/204,0.12,0.01,0.2,Normal
Try Everything,Shimmering Skies,559171,Uncommon,25/204,0.27,0.12,0.3,Cold Foil
Monstro - Whale of a Whale,Shimmering Skies,559512,Uncommon,52/204,0.17,0.02,0.27,Cold Foil
Clarabelle - Contented Wallflower,Shimmering Skies,559513,Uncommon,90/204,0.14,0.01,0.2,Normal
Iago - Fake Flamingo,Shimmering Skies,559625,Rare,79/204,0.47,0.25,0.51,Cold Foil
Ed - Hysterical Partygoer,Shimmering Skies,559626,Uncommon,81/204,0.06,0.01,0.15,Normal
Bashful - Adoring Knight,Shimmering Skies,559662,Uncommon,189/204,0.07,0.01,0.15,Normal
Sneezy - Noisy Knight,Shimmering Skies,559663,Common,180/204,0.07,0.01,0.15,Normal
Sleepy - Sluggish Knight,Shimmering Skies,559664,Uncommon,177/204,0.08,0.01,0.15,Normal
Happy - Lively Knight,Shimmering Skies,559665,Common,191/204,0.44,0.09,0.47,Cold Foil
Grumpy - Skeptical Knight,Shimmering Skies,559666,Super Rare,186/204,0.74,0.06,0.76,Cold Foil
Dopey - Knight Apprentice,Shimmering Skies,559667,Common,181/204,0.12,0.05,0.25,Cold Foil
Doc - Bold Knight,Shimmering Skies,559668,Rare,193/204,7.57,6.18,12.75,Cold Foil
Snow White - Fair-Hearted,Shimmering Skies,559669,Super Rare,183/204,0.74,0.71,1.07,Cold Foil
Medal of Heroes,Shimmering Skies,559711,Common,165/204,0.17,0.01,0.25,Cold Foil
Basil - Practiced Detective,Shimmering Skies,559713,Common,153/204,0.23,0.01,0.25,Normal
Sven - Reindeer Steed,Shimmering Skies,559714,Uncommon,23/204,0.1,0.01,0.2,Normal
Merlin's Cottage - The Wizard's Home,Shimmering Skies,559715,Uncommon,170/204,0.07,0.01,0.15,Normal
Donald Duck - Pie Slinger (Enchanted),Shimmering Skies,559716,Enchanted,214/204,45.0,77.77,88.15,Holofoil
Break Free,Shimmering Skies,559717,Common,127/204,0.04,0.01,0.15,Normal
Merryweather - Good Fairy,Shimmering Skies,559737,Common,76/204,0.25,0.01,0.25,Cold Foil
When Will My Life Begin?,Shimmering Skies,559754,Common,197/204,0.15,0.01,0.25,Cold Foil
"Fix-It Felix, Jr. - Trusty Builder",Shimmering Skies,559769,Common,10/204,0.13,0.01,0.25,Cold Foil
"Fix-It Felix, Jr. - Niceland Steward",Shimmering Skies,559773,Uncommon,12/204,0.04,0.01,0.15,Normal
"Fix-It Felix, Jr. - Delighted Sightseer",Shimmering Skies,559778,Common,17/204,0.19,0.01,0.25,Cold Foil
Wreck-It Ralph - Admiral Underpants,Shimmering Skies,559783,Rare,21/204,0.41,0.23,0.48,Cold Foil
Sugar Rush Speedway - Starting Line,Shimmering Skies,559787,Rare,135/204,0.32,0.2,0.49,Normal
King Candy - Sovereign of Sugar,Shimmering Skies,559789,Common,137/204,0.08,0.01,0.1,Normal
King Candy - Sweet Abomination,Shimmering Skies,559790,Uncommon,154/204,0.29,0.05,0.33,Cold Foil
Rudy - Groove Disrupter,Shimmering Skies,559791,Common,174/204,0.09,0.01,0.25,Cold Foil
Madam Mim - Elephant,Shimmering Skies,560092,Super Rare,44/204,4.6,3.72,5.25,Cold Foil
Amber Chromicon,Shimmering Skies,560093,Uncommon,32/204,0.06,0.01,0.15,Normal
Amethyst Chromicon,Shimmering Skies,560096,Uncommon,66/204,0.24,0.01,0.25,Normal
Emerald Chromicon,Shimmering Skies,560098,Uncommon,100/204,1.73,0.8,1.75,Cold Foil
Ruby Chromicon,Shimmering Skies,560100,Uncommon,134/204,0.3,0.01,0.36,Cold Foil
Steel Chromicon,Shimmering Skies,560101,Uncommon,202/204,0.06,0.01,0.15,Normal
Sapphire Chromicon,Shimmering Skies,560103,Uncommon,168/204,0.05,0.01,0.15,Normal
Rafiki - Shaman Duelist,Shimmering Skies,560105,Rare,55/204,0.18,0.04,0.25,Normal
Simba - Adventurous Successor,Shimmering Skies,560135,Common,125/204,0.05,0.01,0.15,Normal
Tropical Rainforest - Jaguar Lair,Shimmering Skies,560240,Uncommon,102/204,0.23,0.05,0.25,Cold Foil
Simba - Lost Prince,Shimmering Skies,560243,Common,173/204,0.07,0.01,0.15,Normal
Denahi - Avenging Brother,Shimmering Skies,560491,Rare,115/204,0.11,0.01,0.2,Normal
Tanana - Wise Woman,Shimmering Skies,560493,Common,156/204,0.1,0.01,0.2,Cold Foil
Tuke - Northern Moose,Shimmering Skies,560496,Common,7/204,0.12,0.01,0.25,Cold Foil
Rutt - Northern Moose,Shimmering Skies,560498,Common,4/204,0.03,0.01,0.1,Normal
Kenai - Big Brother,Shimmering Skies,560502,Common,5/204,0.04,0.01,0.15,Normal
Koda - Talkative Cub,Shimmering Skies,560505,Rare,1/204,0.43,0.17,0.59,Cold Foil
Chaca - Impressive Daughter,Shimmering Skies,560507,Common,138/204,0.04,0.01,0.1,Normal
Royal Tantrum,Shimmering Skies,560510,Rare,161/204,0.4,0.25,0.5,Cold Foil
Chicha - Dedicated Mother,Shimmering Skies,560514,Rare,146/204,0.16,0.08,0.27,Normal
Maleficent - Vengeful Sorceress,Shimmering Skies,560519,Common,54/204,0.21,0.05,0.25,Cold Foil
Don't Let the Frostbite Bite,Shimmering Skies,560524,Rare,129/204,0.42,0.15,0.5,Cold Foil
Night Howler Rage,Shimmering Skies,560541,Common,95/204,0.12,0.01,0.25,Cold Foil
Gaston - Pure Paragon,Shimmering Skies,560542,Rare,119/204,0.59,0.2,0.67,Cold Foil
Merlin's Carpetbag,Shimmering Skies,560543,Uncommon,167/204,0.07,0.01,0.16,Normal
